date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Oct_18,17,001,0,source,0,YEOMAN,LF,target,right,yellow,imageability,liberal,no,9,1,3.79991450779,-,-
2019_Oct_18,17,001,0,source,1,EXPECT,HF,target,left,aqua,pleasantness,conservative,no,7,0,4.74994372618,-,-
2019_Oct_18,17,001,0,source,2,PALATABLE,LF,target,right,yellow,imageability,liberal,no,2,0,4.2666799622,-,-
2019_Oct_18,17,001,0,source,3,ARRIVED,HF,target,left,aqua,pleasantness,liberal,no,1,1,2.16657379349,-,-
2019_Oct_18,17,001,0,source,4,MEETING,HF,target,left,aqua,pleasantness,conservative,no,9,0,4.66651440353,-,-
2019_Oct_18,17,001,0,source,5,TOGETHER,HF,target,left,aqua,pleasantness,conservative,no,2,1,3.60003724703,-,-
2019_Oct_18,17,001,0,source,6,MODERN,HF,target,left,aqua,pleasantness,conservative,no,1,1,3.73315359929,-,-
2019_Oct_18,17,001,0,source,7,TATTERS,LF,target,left,aqua,pleasantness,conservative,no,8,0,2.81677172334,-,-
2019_Oct_18,17,001,0,source,8,DEPARTS,LF,target,left,aqua,pleasantness,conservative,no,2,1,3.25010796507,-,-
2019_Oct_18,17,001,0,source,9,ADMIRALS,LF,target,right,yellow,imageability,conservative,no,2,0,3.90006540227,-,-
2019_Oct_18,17,001,0,source,10,OPTIC,LF,target,left,aqua,pleasantness,conservative,no,8,0,2.48345806446,-,-
2019_Oct_18,17,001,0,source,11,GUSHED,LF,target,right,yellow,imageability,liberal,no,9,1,1.95015239756,-,-
2019_Oct_18,17,001,0,source,12,ACROSS,HF,target,right,yellow,imageability,liberal,no,9,1,2.46686810371,-,-
2019_Oct_18,17,001,0,source,13,ACACIA,LF,target,right,yellow,imageability,conservative,no,8,1,1.5501665485,-,-
2019_Oct_18,17,001,0,source,14,MAPPED,LF,target,left,aqua,pleasantness,liberal,no,1,1,3.1333949718,-,-
2019_Oct_18,17,001,0,source,15,REVERE,LF,target,left,aqua,pleasantness,liberal,no,1,1,3.05012182273,-,-
2019_Oct_18,17,001,0,source,16,LAYERED,LF,target,left,aqua,pleasantness,conservative,no,9,0,3.35007629043,-,-
2019_Oct_18,17,001,0,source,17,AIRBED,LF,target,right,yellow,imageability,conservative,no,9,1,1.06674991037,-,-
2019_Oct_18,17,001,0,source,18,LOWED,LF,target,right,yellow,imageability,liberal,no,2,0,5.00001136474,-,-
2019_Oct_18,17,001,0,source,19,CASES,HF,target,right,yellow,imageability,conservative,no,9,1,2.06682909697,-,-
2019_Oct_18,17,001,0,source,20,EITHER,HF,target,right,yellow,imageability,liberal,yes,8,1,1.18351752774,-,-
2019_Oct_18,17,001,0,source,21,TERMS,HF,target,left,aqua,pleasantness,liberal,no,2,1,3.23317779519,-,-
2019_Oct_18,17,001,0,source,22,HISTORY,HF,target,right,yellow,imageability,conservative,no,8,1,2.28348035402,-,-
2019_Oct_18,17,001,0,source,23,AVAILABLE,HF,target,right,yellow,imageability,liberal,no,8,1,2.43344475671,-,-
2019_Oct_18,17,001,0,source,24,BLACK,HF,target,right,yellow,imageability,liberal,yes,8,1,0.800331703897,-,-
2019_Oct_18,17,001,0,source,25,ACCORDING,HF,target,right,yellow,imageability,conservative,no,7,1,3.56675174339,-,-
2019_Oct_18,17,001,0,source,26,ALMOST,HF,target,left,aqua,pleasantness,conservative,no,3,1,4.93344805615,-,-
2019_Oct_18,17,001,0,source,27,EARLIER,HF,target,right,yellow,imageability,conservative,no,2,0,2.40002874181,-,-
2019_Oct_18,17,001,0,source,28,LOPSIDED,LF,target,right,yellow,imageability,conservative,no,9,1,2.75015379066,-,-
2019_Oct_18,17,001,0,source,29,CHOICE,HF,target,left,aqua,pleasantness,conservative,no,1,1,3.00014077619,-,-
2019_Oct_18,17,001,0,source,30,COVER,HF,target,left,aqua,pleasantness,liberal,no,1,1,2.55018157929,-,-
2019_Oct_18,17,001,0,source,31,BEREAVED,LF,target,right,yellow,imageability,conservative,no,8,1,2.81683074669,-,-
2019_Oct_18,17,001,0,source,32,SIPHON,LF,target,left,aqua,pleasantness,liberal,no,2,1,2.2165761031,-,-
2019_Oct_18,17,001,0,source,33,FEIGNED,LF,target,right,yellow,imageability,conservative,no,3,0,2.51676153173,-,-
2019_Oct_18,17,001,0,source,34,REIGNING,LF,target,left,aqua,pleasantness,conservative,no,1,1,3.83341520837,-,-
2019_Oct_18,17,001,0,source,35,BETTER,HF,target,right,yellow,imageability,liberal,no,2,0,4.08317013316,-,-
2019_Oct_18,17,001,0,source,36,MINISTER,HF,target,left,aqua,pleasantness,liberal,no,1,1,1.71680193157,-,-
2019_Oct_18,17,001,0,source,37,LESSENED,LF,target,left,aqua,pleasantness,liberal,no,3,1,4.88335849463,-,-
2019_Oct_18,17,001,0,source,38,ACORNS,LF,target,left,aqua,pleasantness,liberal,no,2,1,3.68347060234,-,-
2019_Oct_18,17,001,0,source,39,SOUND,HF,target,right,yellow,imageability,conservative,no,9,1,2.45009960649,-,-
2019_Oct_18,17,001,0,source,40,TRUTH,HF,target,right,yellow,imageability,liberal,no,1,0,1.81665734269,-,-
2019_Oct_18,17,001,0,source,41,ASSERTIVE,LF,target,left,aqua,pleasantness,liberal,yes,2,1,1.03335699155,-,-
2019_Oct_18,17,001,0,source,42,MAJOR,HF,target,right,yellow,imageability,conservative,no,9,1,2.81674826064,-,-
2019_Oct_18,17,001,0,source,43,FINAL,HF,target,left,aqua,pleasantness,liberal,no,1,1,2.60009003811,-,-
2019_Oct_18,17,001,0,source,44,ERUDITE,LF,target,right,yellow,imageability,liberal,no,9,1,2.03344644309,-,-
2019_Oct_18,17,001,0,source,45,RAVAGES,LF,target,left,aqua,pleasantness,conservative,yes,9,0,0.766897358761,-,-
2019_Oct_18,17,001,0,source,46,MEANS,HF,target,left,aqua,pleasantness,liberal,no,3,1,3.11652565829,-,-
2019_Oct_18,17,001,0,source,47,JACKALS,LF,target,right,yellow,imageability,liberal,no,7,1,2.01681652243,-,-
2019_Oct_18,17,001,0,recog,0,LOWED,LF,target,right,yellow,imageability,liberal,no,None,-1,-1,-3,-3
2019_Oct_18,17,001,0,recog,1,CLASS,HF,lure,-,-,-,conservative,no,m,1,4.84997694057,3,0
