subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
109,001,0,source,0,TOWARDS,HF,target,right,yellow,imageability,liberal,yes,1,0,1.98614004254,-,-
109,001,0,source,1,TAKEN,HF,target,left,aqua,pleasantness,liberal,no,1,1,2.10613576061,-,-
109,001,0,source,2,ADDED,HF,target,left,aqua,pleasantness,liberal,no,7,0,3.15906249703,-,-
109,001,0,source,3,HAUNCHES,LF,target,left,aqua,pleasantness,conservative,no,1,1,1.70630058728,-,-
109,001,0,source,4,CYNIC,LF,target,left,aqua,pleasantness,conservative,no,1,1,1.73295587441,-,-
109,001,0,source,5,DOODLE,LF,target,right,yellow,imageability,liberal,no,8,1,2.34611766483,-,-
109,001,0,source,6,NUMBER,HF,target,left,aqua,pleasantness,liberal,no,1,1,1.61305767391,-,-
109,001,0,source,7,CLEAR,HF,target,left,aqua,pleasantness,conservative,no,1,1,2.46599716833,-,-
109,001,0,source,8,PEEKED,LF,target,right,yellow,imageability,conservative,no,7,1,2.10617352114,-,-
109,001,0,source,9,POLICE,HF,target,left,aqua,pleasantness,conservative,yes,7,0,0.813329769881,-,-
109,001,0,source,10,RESEARCH,HF,target,right,yellow,imageability,liberal,no,1,0,1.86595625494,-,-
109,001,0,source,11,NEITHER,HF,target,right,yellow,imageability,liberal,no,9,1,1.95927615574,-,-
109,001,0,source,12,MADDENED,LF,target,right,yellow,imageability,conservative,no,8,1,1.9994559547,-,-
109,001,0,source,13,HOARD,LF,target,right,yellow,imageability,liberal,no,2,0,1.93287932681,-,-
109,001,0,source,14,BIRCHES,LF,target,right,yellow,imageability,conservative,no,8,1,1.4663399462,-,-
109,001,0,source,15,EIGHT,HF,target,left,aqua,pleasantness,conservative,no,1,1,1.30643645191,-,-
109,001,0,source,16,TROUBLE,HF,target,left,aqua,pleasantness,liberal,no,1,1,1.22625979118,-,-
109,001,0,source,17,HUMAN,HF,target,left,aqua,pleasantness,conservative,no,1,1,0.933350050589,-,-
109,001,0,source,18,ALREADY,HF,target,right,yellow,imageability,liberal,no,8,1,1.29286501446,-,-
109,001,0,source,19,DESERTER,LF,target,right,yellow,imageability,liberal,no,9,1,2.0661491637,-,-
109,001,0,source,20,DARKEN,LF,target,right,yellow,imageability,liberal,no,1,0,2.05283068534,-,-
109,001,0,source,21,REACHED,HF,target,right,yellow,imageability,conservative,no,7,1,1.77297509933,-,-
109,001,0,source,22,DEVELOPED,HF,target,right,yellow,imageability,conservative,no,8,1,1.98608945071,-,-
109,001,0,source,23,SMOCK,LF,target,left,aqua,pleasantness,liberal,no,1,1,1.23980043363,-,-
