date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Mar_27,101,001,0,source,0,OBVIOUSLY,HF,target,left,aqua,pleasantness,conservative,no,None,-1,-1,-,-
2019_Mar_27,101,001,0,source,1,HIVES,LF,target,left,aqua,pleasantness,conservative,no,1,1,3.2523988776,-,-
2019_Mar_27,101,001,0,source,2,MOTHER,HF,target,left,aqua,pleasantness,liberal,no,1,1,0.786478080341,-,-
2019_Mar_27,101,001,0,source,3,ANYONE,HF,target,right,yellow,imageability,conservative,no,9,1,1.91968388413,-,-
2019_Mar_27,101,001,0,source,4,INTEREST,HF,target,right,yellow,imageability,liberal,no,8,1,2.22596998094,-,-
2019_Mar_27,101,001,0,source,5,RIGGING,LF,target,left,aqua,pleasantness,liberal,no,8,0,2.39937618551,-,-
2019_Mar_27,101,001,0,source,6,SAGES,LF,target,left,aqua,pleasantness,conservative,no,8,0,2.75927491464,-,-
2019_Mar_27,101,001,0,source,7,DILATED,LF,target,left,aqua,pleasantness,conservative,no,1,1,2.85236646975,-,-
2019_Mar_27,101,001,0,source,8,GLASS,HF,target,right,yellow,imageability,conservative,no,9,1,2.41269126682,-,-
2019_Mar_27,101,001,0,source,9,SLEEP,HF,target,left,aqua,pleasantness,conservative,no,1,1,1.21321763779,-,-
2019_Mar_27,101,001,0,source,10,BUILDING,HF,target,left,aqua,pleasantness,liberal,no,9,0,1.65300685477,-,-
2019_Mar_27,101,001,0,source,11,EXCEPT,HF,target,right,yellow,imageability,liberal,no,8,1,2.15949209124,-,-
2019_Mar_27,101,001,0,source,12,AVUNCULAR,LF,target,left,aqua,pleasantness,liberal,no,1,1,1.91964245781,-,-
2019_Mar_27,101,001,0,source,13,AFTERNOON,HF,target,left,aqua,pleasantness,liberal,no,1,1,0.880003695376,-,-
2019_Mar_27,101,001,0,source,14,HUMAN,HF,target,right,yellow,imageability,liberal,no,9,1,1.34648943042,-,-
2019_Mar_27,101,001,0,source,15,MEMBERS,HF,target,right,yellow,imageability,conservative,no,9,1,0.826679947531,-,-
2019_Mar_27,101,001,0,source,16,APART,HF,target,left,aqua,pleasantness,liberal,no,1,1,2.94561089901,-,-
2019_Mar_27,101,001,0,source,17,HOTEL,HF,target,right,yellow,imageability,liberal,no,9,1,1.01308375377,-,-
2019_Mar_27,101,001,0,source,18,IDLING,LF,target,right,yellow,imageability,conservative,no,8,1,1.81305801812,-,-
2019_Mar_27,101,001,0,source,19,GIRLS,HF,target,left,aqua,pleasantness,liberal,yes,7,0,1.81306791645,-,-
2019_Mar_27,101,001,0,source,20,YOUNG,HF,target,right,yellow,imageability,conservative,no,3,0,3.932130479,-,-
2019_Mar_27,101,001,0,source,21,NOSTRIL,LF,target,left,aqua,pleasantness,liberal,no,1,1,1.41311212897,-,-
2019_Mar_27,101,001,0,source,22,TERMS,HF,target,right,yellow,imageability,liberal,no,9,1,1.99930895021,-,-
2019_Mar_27,101,001,0,source,23,BREAK,HF,target,left,aqua,pleasantness,liberal,no,1,1,1.71972450393,-,-
2019_Mar_27,101,001,0,source,24,LOANED,LF,target,left,aqua,pleasantness,conservative,no,1,1,1.15991881906,-,-
2019_Mar_27,101,001,0,source,25,TILTS,LF,target,left,aqua,pleasantness,liberal,no,9,0,2.14647066026,-,-
2019_Mar_27,101,001,0,source,26,ORPHANAGE,LF,target,left,aqua,pleasantness,conservative,no,1,1,0.919973501816,-,-
2019_Mar_27,101,001,0,source,27,ANSWER,HF,target,left,aqua,pleasantness,conservative,no,2,1,1.85263152492,-,-
2019_Mar_27,101,001,0,source,28,HIPPY,LF,target,right,yellow,imageability,conservative,no,7,1,3.23899947722,-,-
2019_Mar_27,101,001,0,source,29,CUCKOO,LF,target,right,yellow,imageability,conservative,no,8,1,4.42522877964,-,-
2019_Mar_27,101,001,0,source,30,HYDRAULIC,LF,target,right,yellow,imageability,liberal,no,8,1,2.6792363185,-,-
2019_Mar_27,101,001,0,source,31,AROUND,HF,target,right,yellow,imageability,conservative,yes,7,1,1.45306030573,-,-
