date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Sep_30,10,001,0,source,0,TOILED,LF,target,right,aqua,imageability,liberal,no,8,1,3.53341943686,-,-
2019_Sep_30,10,001,0,source,1,CHIEF,HF,target,right,aqua,imageability,liberal,no,9,1,1.93355596094,-,-
2019_Sep_30,10,001,0,source,2,LIMELIGHT,LF,target,left,yellow,pleasantness,conservative,no,1,1,1.24997727043,-,-
2019_Sep_30,10,001,0,source,3,GETTING,HF,target,right,aqua,imageability,conservative,yes,3,0,0.984826544034,-,-
2019_Sep_30,10,001,0,source,4,SIBLINGS,LF,target,right,aqua,imageability,conservative,no,9,1,2.81683484106,-,-
2019_Sep_30,10,001,0,source,5,INSIDE,HF,target,right,aqua,imageability,liberal,no,8,1,2.5499339376,-,-
2019_Sep_30,10,001,0,source,6,ELUDE,LF,target,right,aqua,imageability,liberal,no,3,0,2.06694518947,-,-
2019_Sep_30,10,001,0,source,7,SAYING,HF,target,left,yellow,pleasantness,liberal,no,7,0,2.38341232471,-,-
2019_Sep_30,10,001,0,source,8,UNION,HF,target,left,yellow,pleasantness,conservative,no,2,1,2.71685075176,-,-
2019_Sep_30,10,001,0,source,9,JASMINE,LF,target,right,aqua,imageability,conservative,no,8,1,2.83347068838,-,-
2019_Sep_30,10,001,0,source,10,SPEAK,HF,target,left,yellow,pleasantness,liberal,no,7,0,1.93347017514,-,-
2019_Sep_30,10,001,0,source,11,EDUCATION,HF,target,left,yellow,pleasantness,liberal,yes,7,0,0.950239467043,-,-
2019_Sep_30,10,001,0,source,12,LOLLED,LF,target,left,yellow,pleasantness,liberal,no,1,1,2.16687392126,-,-
2019_Sep_30,10,001,0,source,13,UNRAVEL,LF,target,right,aqua,imageability,conservative,no,7,1,1.98346020345,-,-
2019_Sep_30,10,001,0,source,14,BASIC,HF,target,left,yellow,pleasantness,conservative,no,2,1,1.10018645581,-,-
2019_Sep_30,10,001,0,source,15,BUSINESS,HF,target,right,aqua,imageability,liberal,no,3,0,2.86676951187,-,-
2019_Sep_30,10,001,0,source,16,THING,HF,target,left,yellow,pleasantness,liberal,no,2,1,2.01666150974,-,-
2019_Sep_30,10,001,0,source,17,MOMENT,HF,target,right,aqua,imageability,liberal,no,7,1,1.2502624899,-,-
2019_Sep_30,10,001,0,source,18,LAUNCHER,LF,target,left,yellow,pleasantness,conservative,no,7,0,1.68363734747,-,-
2019_Sep_30,10,001,0,source,19,CESSATION,LF,target,left,yellow,pleasantness,liberal,no,7,0,1.70023983365,-,-
2019_Sep_30,10,001,0,source,20,PYJAMA,LF,target,left,yellow,pleasantness,liberal,no,1,1,1.60003798038,-,-
2019_Sep_30,10,001,0,source,21,HUNDRED,HF,target,right,aqua,imageability,conservative,no,9,1,1.20019510772,-,-
2019_Sep_30,10,001,0,source,22,PURCHASER,LF,target,left,yellow,pleasantness,conservative,no,8,0,2.38344971852,-,-
2019_Sep_30,10,001,0,source,23,HOTEL,HF,target,right,aqua,imageability,conservative,no,9,1,1.99997507079,-,-
2019_Sep_30,10,001,0,source,24,TYRANTS,LF,target,left,yellow,pleasantness,conservative,no,1,1,1.533329985,-,-
2019_Sep_30,10,001,0,source,25,CAPITAL,HF,target,right,aqua,imageability,conservative,no,9,1,1.43333489752,-,-
2019_Sep_30,10,001,0,source,26,UPTIGHT,LF,target,left,yellow,pleasantness,liberal,no,1,1,1.48329376433,-,-
2019_Sep_30,10,001,0,source,27,THYROID,LF,target,right,aqua,imageability,conservative,no,9,1,1.48327946669,-,-
2019_Sep_30,10,001,0,source,28,SUNBURN,LF,target,right,aqua,imageability,liberal,no,8,1,1.75023279481,-,-
2019_Sep_30,10,001,0,source,29,SUPPORT,HF,target,left,yellow,pleasantness,liberal,no,2,1,1.46692187333,-,-
2019_Sep_30,10,001,0,source,30,SIDED,LF,target,right,aqua,imageability,liberal,no,8,1,1.58342779548,-,-
2019_Sep_30,10,001,0,source,31,CICADAS,LF,target,left,yellow,pleasantness,conservative,no,1,1,1.63353293808,-,-
2019_Sep_30,10,001,0,source,32,TELEPHONE,HF,target,right,aqua,imageability,conservative,no,9,1,2.6167955409,-,-
2019_Sep_30,10,001,0,source,33,HORDE,LF,target,right,aqua,imageability,conservative,no,9,1,1.65020544601,-,-
2019_Sep_30,10,001,0,source,34,SLEEP,HF,target,left,yellow,pleasantness,conservative,no,1,1,1.33350991523,-,-
2019_Sep_30,10,001,0,source,35,LOITERING,LF,target,right,aqua,imageability,conservative,no,9,1,0.933368991878,-,-
2019_Sep_30,10,001,0,source,36,NEITHER,HF,target,left,yellow,pleasantness,liberal,no,1,1,2.45015844712,-,-
2019_Sep_30,10,001,0,source,37,VARIOUS,HF,target,right,aqua,imageability,liberal,no,8,1,2.31686673578,-,-
2019_Sep_30,10,001,0,source,38,CANNOT,HF,target,left,yellow,pleasantness,conservative,yes,3,1,0.833627229148,-,-
2019_Sep_30,10,001,0,source,39,MOVED,HF,target,right,aqua,imageability,liberal,no,8,1,2.23329889681,-,-
2019_Sep_30,10,001,0,source,40,MARKET,HF,target,left,yellow,pleasantness,conservative,no,3,1,1.41690984865,-,-
2019_Sep_30,10,001,0,source,41,AIDING,LF,target,left,yellow,pleasantness,liberal,yes,3,1,1.16688052017,-,-
2019_Sep_30,10,001,0,source,42,UNFAILING,LF,target,left,yellow,pleasantness,liberal,no,1,1,3.36681863708,-,-
2019_Sep_30,10,001,0,source,43,JUMBO,LF,target,left,yellow,pleasantness,conservative,no,1,1,1.28351512103,-,-
2019_Sep_30,10,001,0,source,44,EITHER,HF,target,left,yellow,pleasantness,conservative,no,1,1,0.63361029195,-,-
2019_Sep_30,10,001,0,source,45,JOWLS,LF,target,right,aqua,imageability,liberal,no,8,1,3.06678571586,-,-
2019_Sep_30,10,001,0,source,46,REPORT,HF,target,right,aqua,imageability,conservative,no,8,1,2.63348417948,-,-
2019_Sep_30,10,001,0,source,47,RAIDER,LF,target,right,aqua,imageability,liberal,no,7,1,2.31682897537,-,-
2019_Sep_30,10,001,0,recog,0,MARKET,HF,target,left,yellow,pleasantness,conservative,no,z,1,3.0667149609,1,1
2019_Sep_30,10,001,0,recog,1,BOOKS,HF,lure,-,-,-,liberal,no,m,1,3.11674604909,1,2
2019_Sep_30,10,001,0,recog,2,MOMENT,HF,target,right,aqua,imageability,liberal,no,z,1,2.75019943367,3,5
2019_Sep_30,10,001,0,recog,3,EITHER,HF,target,left,yellow,pleasantness,conservative,no,z,1,1.15022634255,1,6
2019_Sep_30,10,001,0,recog,4,SLACKEN,LF,lure,-,-,-,conservative,no,m,1,1.5169093354,3,9
2019_Sep_30,10,001,0,recog,5,THYROID,LF,target,right,aqua,imageability,conservative,no,z,1,1.0000304283,1,10
2019_Sep_30,10,001,0,recog,6,CESSATION,LF,target,left,yellow,pleasantness,liberal,no,z,1,0.983545256045,3,13
2019_Sep_30,10,001,0,recog,7,WRITE,HF,lure,-,-,-,liberal,yes,z,0,1.85018022351,-1,12
2019_Sep_30,10,001,0,recog,8,NEITHER,HF,target,left,yellow,pleasantness,liberal,no,z,1,1.51690236989,3,15
2019_Sep_30,10,001,0,recog,9,HUNDRED,HF,target,right,aqua,imageability,conservative,no,z,1,2.01688367298,1,16
2019_Sep_30,10,001,0,recog,10,VOWEL,LF,lure,-,-,-,conservative,no,m,1,0.817002380006,3,19
2019_Sep_30,10,001,0,recog,11,SINCE,HF,lure,-,-,-,conservative,no,m,1,2.38347721397,3,22
2019_Sep_30,10,001,0,recog,12,FEUDALISM,LF,lure,-,-,-,liberal,no,m,1,0.916866589142,1,23
2019_Sep_30,10,001,0,recog,13,TRUTH,HF,lure,-,-,-,liberal,no,m,1,1.4501577139,1,24
2019_Sep_30,10,001,0,recog,14,USUAL,HF,lure,-,-,-,liberal,no,m,1,0.650202146551,1,25
2019_Sep_30,10,001,0,recog,15,ELUDE,LF,target,right,aqua,imageability,liberal,no,z,1,1.51680411948,3,28
2019_Sep_30,10,001,0,recog,16,TAWNY,LF,lure,-,-,-,liberal,yes,m,1,0.766943063154,1,29
2019_Sep_30,10,001,0,recog,17,JASMINE,LF,target,right,aqua,imageability,conservative,no,z,1,1.0835634397,1,30
2019_Sep_30,10,001,0,recog,18,CICADAS,LF,target,left,yellow,pleasantness,conservative,no,z,1,0.800212558162,1,31
2019_Sep_30,10,001,0,recog,19,JUMBO,LF,target,left,yellow,pleasantness,conservative,no,z,1,0.683620483597,1,32
2019_Sep_30,10,001,0,recog,20,SLEEP,HF,target,left,yellow,pleasantness,conservative,no,z,1,0.56697268492,1,33
2019_Sep_30,10,001,0,recog,21,PROBABLY,HF,lure,-,-,-,liberal,no,m,1,1.36683146829,1,34
2019_Sep_30,10,001,0,recog,22,SIDED,LF,target,right,aqua,imageability,liberal,no,z,1,0.816696263992,3,37
2019_Sep_30,10,001,0,recog,23,WANTED,HF,lure,-,-,-,conservative,no,m,1,1.26684517935,3,40
2019_Sep_30,10,001,0,recog,24,HOTEL,HF,target,right,aqua,imageability,conservative,no,z,1,0.633593428074,1,41
2019_Sep_30,10,001,0,recog,25,ALKALINE,LF,lure,-,-,-,conservative,no,m,1,0.883415990767,3,44
2019_Sep_30,10,001,0,recog,26,JABBED,LF,lure,-,-,-,liberal,no,m,1,0.766873041407,1,45
2019_Sep_30,10,001,0,recog,27,UNION,HF,target,left,yellow,pleasantness,conservative,no,z,1,0.616921286758,1,46
