subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
5,001,0,source,0,OEDIPAL,LF,target,right,yellow,imageability,conservative,yes,None,-1,-1,-,-
5,001,0,source,1,KICKER,LF,target,left,aqua,pleasantness,liberal,no,2,1,2.09451178157,-,-
5,001,0,source,2,PRACTICE,HF,target,right,yellow,imageability,conservative,no,8,1,5.2004469644,-,-
5,001,0,source,3,ONCOMING,LF,target,left,aqua,pleasantness,conservative,no,2,1,2.18843992853,-,-
5,001,0,source,4,LONGER,HF,target,left,aqua,pleasantness,conservative,no,2,1,3.69443208172,-,-
5,001,0,source,5,AFTERNOON,HF,target,right,yellow,imageability,conservative,no,7,1,4.37669325528,-,-
5,001,0,source,6,DIFFERENT,HF,target,right,yellow,imageability,liberal,no,3,0,1.78857762524,-,-
5,001,0,source,7,RIDDLES,LF,target,left,aqua,pleasantness,conservative,no,9,0,0.729402500391,-,-
5,001,0,source,8,SOMEONE,HF,target,right,yellow,imageability,liberal,no,2,0,0.58857938494,-,-
5,001,0,source,9,INCLUDING,HF,target,right,yellow,imageability,liberal,no,8,1,0.612005056212,-,-
5,001,0,source,10,SMOCK,LF,target,left,aqua,pleasantness,liberal,no,2,1,1.24727557746,-,-
5,001,0,source,11,DWINDLE,LF,target,right,yellow,imageability,liberal,no,7,1,1.05908713973,-,-
5,001,0,source,12,SOUND,HF,target,right,yellow,imageability,conservative,no,3,0,1.67083923872,-,-
5,001,0,source,13,RINSING,LF,target,right,yellow,imageability,conservative,no,3,0,2.61206517938,-,-
5,001,0,source,14,HUSBAND,HF,target,left,aqua,pleasantness,conservative,no,3,1,1.92965479772,-,-
5,001,0,source,15,BONANZA,LF,target,left,aqua,pleasantness,conservative,no,2,1,2.75324976702,-,-
5,001,0,source,16,BRUISING,LF,target,right,yellow,imageability,conservative,no,9,1,2.77684224342,-,-
5,001,0,source,17,VEILING,LF,target,left,aqua,pleasantness,liberal,no,1,1,1.50612449748,-,-
5,001,0,source,18,MYOPIC,LF,target,left,aqua,pleasantness,conservative,no,3,1,1.27097950167,-,-
5,001,0,source,19,PUBLIC,HF,target,left,aqua,pleasantness,liberal,no,8,0,0.447468118226,-,-
5,001,0,source,20,THING,HF,target,left,aqua,pleasantness,liberal,no,3,1,1.553257759,-,-
5,001,0,source,21,MARKET,HF,target,left,aqua,pleasantness,liberal,no,7,0,1.78855269612,-,-
5,001,0,source,22,MORNING,HF,target,left,aqua,pleasantness,liberal,no,3,1,2.00025332382,-,-
5,001,0,source,23,BUSINESS,HF,target,left,aqua,pleasantness,conservative,no,7,0,1.36503815988,-,-
5,001,0,source,24,FURTHER,HF,target,right,yellow,imageability,conservative,no,3,0,0.376781973609,-,-
5,001,0,source,25,MOMENT,HF,target,right,yellow,imageability,liberal,yes,7,1,0.212066865758,-,-
5,001,0,source,26,ALTHOUGH,HF,target,left,aqua,pleasantness,conservative,no,3,1,1.60036975746,-,-
5,001,0,source,27,RUNNING,HF,target,right,yellow,imageability,liberal,no,7,1,0.659221903602,-,-
5,001,0,source,28,WONDROUS,LF,target,left,aqua,pleasantness,conservative,no,7,0,1.52972320615,-,-
5,001,0,source,29,PILGRIM,LF,target,right,yellow,imageability,liberal,no,3,0,0.329775557294,-,-
5,001,0,source,30,FUTURE,HF,target,right,yellow,imageability,liberal,no,7,1,0.282601602649,-,-
