subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
8,001,0,source,0,FAKING,LF,target,left,yellow,imageability,liberal,no,7,0,2.30606654508,-,-
8,001,0,source,1,STRAIGHT,HF,target,left,yellow,imageability,liberal,yes,7,0,1.14634342166,-,-
8,001,0,source,2,OBTAINS,LF,target,left,yellow,imageability,liberal,no,3,1,1.99946438661,-,-
8,001,0,source,3,LIQUEUR,LF,target,left,yellow,imageability,liberal,no,3,1,1.74610937957,-,-
8,001,0,source,4,PASSED,HF,target,right,aqua,pleasantness,conservative,no,3,0,1.51983125799,-,-
8,001,0,source,5,VERBALLY,LF,target,right,aqua,pleasantness,conservative,no,7,1,1.61296235595,-,-
8,001,0,source,6,DRINK,HF,target,right,aqua,pleasantness,liberal,no,7,1,2.66596534685,-,-
8,001,0,source,7,EXACTLY,HF,target,left,yellow,imageability,conservative,no,3,1,0.999840525794,-,-
8,001,0,source,8,FIELD,HF,target,right,aqua,pleasantness,conservative,no,3,0,1.02649544645,-,-
8,001,0,source,9,OTHERS,HF,target,right,aqua,pleasantness,conservative,no,3,0,1.67940993805,-,-
8,001,0,source,10,TOILED,LF,target,left,yellow,imageability,liberal,no,3,1,0.77334353968,-,-
8,001,0,source,11,LATER,HF,target,left,yellow,imageability,liberal,no,3,1,1.31999945745,-,-
8,001,0,source,12,WILDFOWL,LF,target,right,aqua,pleasantness,liberal,no,7,1,0.919943219866,-,-
8,001,0,source,13,MILES,HF,target,right,aqua,pleasantness,liberal,no,7,1,1.47967932129,-,-
8,001,0,source,14,BLEACH,LF,target,left,yellow,imageability,conservative,no,3,1,1.33305251203,-,-
8,001,0,source,15,NEGATION,LF,target,left,yellow,imageability,conservative,no,3,1,1.82602831535,-,-
8,001,0,source,16,LAMENT,LF,target,right,aqua,pleasantness,liberal,no,7,1,1.82629263913,-,-
8,001,0,source,17,MARKET,HF,target,right,aqua,pleasantness,liberal,no,7,1,1.95954781189,-,-
8,001,0,source,18,LITANY,LF,target,right,aqua,pleasantness,conservative,no,3,0,1.30655376625,-,-
8,001,0,source,19,PHYSICAL,HF,target,left,yellow,imageability,liberal,no,3,1,0.91997364827,-,-
8,001,0,source,20,TAMING,LF,target,left,yellow,imageability,liberal,no,3,1,0.91994945216,-,-
8,001,0,source,21,KRAALS,LF,target,right,aqua,pleasantness,conservative,yes,7,1,0.799746234436,-,-
8,001,0,source,22,ALMOST,HF,target,left,yellow,imageability,liberal,no,3,1,6.55776265403,-,-
8,001,0,source,23,NORTH,HF,target,left,yellow,imageability,liberal,no,3,1,2.01284482179,-,-
8,001,0,source,24,HUBBUB,LF,target,right,aqua,pleasantness,liberal,no,7,1,4.17199750408,-,-
8,001,0,source,25,STUDENT,HF,target,right,aqua,pleasantness,liberal,no,3,0,1.34641425021,-,-
8,001,0,source,26,LIZARD,LF,target,left,yellow,imageability,liberal,no,3,1,1.37309483334,-,-
8,001,0,source,27,SHRED,LF,target,right,aqua,pleasantness,conservative,no,7,1,4.57159951527,-,-
8,001,0,source,28,LICENSING,LF,target,right,aqua,pleasantness,conservative,no,3,0,0.866636311519,-,-
8,001,0,source,29,ACCORDING,HF,target,right,aqua,pleasantness,conservative,yes,3,0,0.959709485644,-,-
8,001,0,source,30,NEEDED,HF,target,left,yellow,imageability,conservative,no,3,1,0.813311072881,-,-
8,001,0,source,31,KINDEST,LF,target,right,aqua,pleasantness,liberal,no,3,0,1.12000414997,-,-
8,001,0,source,32,MOUTH,HF,target,left,yellow,imageability,conservative,no,7,0,2.06603881496,-,-
8,001,0,source,33,ENMESHED,LF,target,right,aqua,pleasantness,liberal,no,7,1,1.37303360982,-,-
8,001,0,source,34,MEANS,HF,target,right,aqua,pleasantness,liberal,no,3,0,0.746658923919,-,-
8,001,0,source,35,NATIONAL,HF,target,left,yellow,imageability,conservative,no,3,1,1.57296329457,-,-
8,001,0,source,36,RUNNING,HF,target,right,aqua,pleasantness,conservative,no,3,0,1.47968811973,-,-
8,001,0,source,37,JUNCTURE,LF,target,right,aqua,pleasantness,conservative,no,7,1,1.25328241894,-,-
8,001,0,source,38,WESTERN,HF,target,left,yellow,imageability,conservative,yes,3,1,0.799940169672,-,-
8,001,0,source,39,SIMILAR,HF,target,left,yellow,imageability,conservative,no,3,1,0.786728740553,-,-
8,001,0,source,40,BACHELORS,LF,target,right,aqua,pleasantness,liberal,no,7,1,0.893278767588,-,-
8,001,0,source,41,SUING,LF,target,left,yellow,imageability,conservative,no,7,0,0.960025867797,-,-
8,001,0,source,42,LEVEL,HF,target,right,aqua,pleasantness,conservative,no,3,0,0.733343378408,-,-
8,001,0,source,43,RUGGER,LF,target,left,yellow,imageability,conservative,no,7,0,0.760002698284,-,-
8,001,0,source,44,WHETHER,HF,target,right,aqua,pleasantness,liberal,no,3,0,1.11965587304,-,-
8,001,0,source,45,ORBITAL,LF,target,left,yellow,imageability,conservative,no,3,1,1.42636544746,-,-
8,001,0,source,46,OSTRACISM,LF,target,left,yellow,imageability,conservative,no,3,1,1.53267204703,-,-
8,001,0,source,47,HUMAN,HF,target,left,yellow,imageability,liberal,no,3,1,1.66633048782,-,-
8,001,0,recog,0,ALMOST,HF,target,left,yellow,imageability,liberal,yes,z,1,2.42608279316,3,3
8,001,0,recog,1,OSTRACISM,LF,target,left,yellow,imageability,conservative,no,z,1,1.93289912352,1,4
8,001,0,recog,2,MEANS,HF,target,right,aqua,pleasantness,liberal,no,m,0,4.13195738266,-3,1
8,001,0,recog,3,RECENT,HF,lure,-,-,-,liberal,no,m,1,1.1730907273,1,2
8,001,0,recog,4,SIMILAR,HF,target,left,yellow,imageability,conservative,no,z,1,4.9850482858,1,3
8,001,0,recog,5,WILDFOWL,LF,target,right,aqua,pleasantness,liberal,no,z,1,1.55969430809,3,6
8,001,0,recog,6,BACHELORS,LF,target,right,aqua,pleasantness,liberal,no,z,1,0.706563811284,3,9
8,001,0,recog,7,STRAIGHT,HF,target,left,yellow,imageability,liberal,no,z,1,0.999897716567,3,12
8,001,0,recog,8,SUDDENLY,HF,lure,-,-,-,liberal,no,z,0,2.11947256932,-1,11
8,001,0,recog,9,HATCHES,LF,lure,-,-,-,conservative,no,z,0,2.95916324074,-3,8
8,001,0,recog,10,BLACK,HF,lure,-,-,-,conservative,no,m,1,1.71967882267,3,11
8,001,0,recog,11,LUSCIOUS,LF,lure,-,-,-,liberal,no,m,1,1.6263075968,1,12
8,001,0,recog,12,GRUBS,LF,lure,-,-,-,liberal,no,z,0,1.0263381718,-1,11
8,001,0,recog,13,DOLPHIN,LF,lure,-,-,-,liberal,yes,z,0,1.02656693477,-1,10
8,001,0,recog,14,CORNER,HF,lure,-,-,-,conservative,no,m,1,1.95942646475,3,13
8,001,0,recog,15,LACING,LF,lure,-,-,-,conservative,no,m,1,3.89211038989,3,16
8,001,0,recog,16,OTHERS,HF,target,right,aqua,pleasantness,conservative,no,z,1,2.18610932084,1,17
8,001,0,recog,17,SPACE,HF,lure,-,-,-,conservative,no,m,1,2.59925784008,3,20
8,001,0,recog,18,LEVEL,HF,target,right,aqua,pleasantness,conservative,no,z,1,1.14655422082,1,21
