date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Nov_06,32,001,0,source,0,RUINOUS,LF,target,right,aqua,pleasantness,conservative,no,8,1,6.36639789657,-,-
2019_Nov_06,32,001,0,source,1,AXLES,LF,target,right,aqua,pleasantness,conservative,no,9,1,2.51684255136,-,-
2019_Nov_06,32,001,0,source,2,ARMAMENT,LF,target,left,yellow,imageability,conservative,no,1,1,2.7999544677,-,-
2019_Nov_06,32,001,0,source,3,APPEARED,HF,target,left,yellow,imageability,conservative,no,2,1,4.10013146443,-,-
2019_Nov_06,32,001,0,source,4,TATTERS,LF,target,left,yellow,imageability,liberal,no,1,1,1.4002329406,-,-
2019_Nov_06,32,001,0,source,5,LEMURS,LF,target,left,yellow,imageability,conservative,no,1,1,1.69997661062,-,-
2019_Nov_06,32,001,0,source,6,DWARFED,LF,target,left,yellow,imageability,liberal,no,1,1,0.7835808037,-,-
2019_Nov_06,32,001,0,source,7,QUALITY,HF,target,left,yellow,imageability,liberal,no,1,1,2.6167859476,-,-
2019_Nov_06,32,001,0,source,8,APOSTLE,LF,target,left,yellow,imageability,liberal,no,1,1,0.783518114303,-,-
2019_Nov_06,32,001,0,source,9,EVENING,HF,target,right,aqua,pleasantness,conservative,no,9,1,1.61695751858,-,-
2019_Nov_06,32,001,0,source,10,DINER,LF,target,right,aqua,pleasantness,liberal,no,9,1,1.0002122641,-,-
2019_Nov_06,32,001,0,source,11,LEVEL,HF,target,left,yellow,imageability,conservative,no,1,1,1.70014341574,-,-
2019_Nov_06,32,001,0,source,12,UNZIPPED,LF,target,left,yellow,imageability,liberal,yes,3,1,1.33364177005,-,-
2019_Nov_06,32,001,0,source,13,IRRIGATED,LF,target,right,aqua,pleasantness,liberal,no,9,1,2.34995384447,-,-
2019_Nov_06,32,001,0,source,14,BEHIND,HF,target,left,yellow,imageability,liberal,no,1,1,2.80012603868,-,-
2019_Nov_06,32,001,0,source,15,EXCEPT,HF,target,right,aqua,pleasantness,liberal,no,8,1,3.78341803123,-,-
2019_Nov_06,32,001,0,source,16,TOXICITY,LF,target,left,yellow,imageability,conservative,no,7,0,3.8833797577,-,-
2019_Nov_06,32,001,0,source,17,RENAMED,LF,target,left,yellow,imageability,liberal,no,2,1,3.68351422829,-,-
2019_Nov_06,32,001,0,source,18,SLACKEN,LF,target,right,aqua,pleasantness,liberal,no,9,1,2.16683224977,-,-
2019_Nov_06,32,001,0,source,19,GARDEN,HF,target,left,yellow,imageability,conservative,no,1,1,2.96680541431,-,-
2019_Nov_06,32,001,0,source,20,EPIDEMICS,LF,target,left,yellow,imageability,conservative,no,1,1,0.900252737253,-,-
2019_Nov_06,32,001,0,source,21,PRIVATE,HF,target,left,yellow,imageability,liberal,yes,8,0,1.3001978932,-,-
2019_Nov_06,32,001,0,source,22,BOTANIST,LF,target,right,aqua,pleasantness,conservative,no,9,1,1.28329925132,-,-
2019_Nov_06,32,001,0,source,23,GAUCHE,LF,target,right,aqua,pleasantness,liberal,no,8,1,4.11675551942,-,-
2019_Nov_06,32,001,0,source,24,BEGAN,HF,target,left,yellow,imageability,conservative,no,1,1,2.90018821483,-,-
2019_Nov_06,32,001,0,source,25,RIVER,HF,target,right,aqua,pleasantness,conservative,no,9,1,2.63324906314,-,-
2019_Nov_06,32,001,0,source,26,OPTIC,LF,target,right,aqua,pleasantness,liberal,no,9,1,0.900264468602,-,-
2019_Nov_06,32,001,0,source,27,THOUSAND,HF,target,right,aqua,pleasantness,conservative,no,9,1,0.916849663493,-,-
2019_Nov_06,32,001,0,source,28,WITHIN,HF,target,left,yellow,imageability,liberal,no,1,1,4.01673330317,-,-
2019_Nov_06,32,001,0,source,29,NUMBER,HF,target,left,yellow,imageability,conservative,no,1,1,4.86644042271,-,-
2019_Nov_06,32,001,0,source,30,ALLOWED,HF,target,right,aqua,pleasantness,liberal,no,8,1,4.29999552742,-,-
2019_Nov_06,32,001,0,source,31,REACHED,HF,target,right,aqua,pleasantness,liberal,no,9,1,1.58352793931,-,-
2019_Nov_06,32,001,0,source,32,FINAL,HF,target,right,aqua,pleasantness,conservative,no,9,1,3.15011324418,-,-
2019_Nov_06,32,001,0,source,33,ASCEND,LF,target,left,yellow,imageability,conservative,yes,7,0,1.25022087931,-,-
2019_Nov_06,32,001,0,source,34,HAPPEN,HF,target,right,aqua,pleasantness,liberal,no,3,0,2.4502499144,-,-
2019_Nov_06,32,001,0,source,35,MONEY,HF,target,right,aqua,pleasantness,liberal,no,1,0,4.88309307286,-,-
2019_Nov_06,32,001,0,source,36,WHOLE,HF,target,left,yellow,imageability,liberal,no,1,1,2.3334958614,-,-
2019_Nov_06,32,001,0,source,37,HEMMED,LF,target,right,aqua,pleasantness,conservative,no,8,1,4.79998452928,-,-
2019_Nov_06,32,001,0,source,38,POWER,HF,target,left,yellow,imageability,liberal,no,1,1,7.08319762851,-,-
2019_Nov_06,32,001,0,source,39,RANGE,HF,target,left,yellow,imageability,conservative,no,1,1,2.58353087215,-,-
2019_Nov_06,32,001,0,source,40,UPHEAVALS,LF,target,right,aqua,pleasantness,conservative,no,8,1,3.76682587085,-,-
2019_Nov_06,32,001,0,source,41,INSIDE,HF,target,right,aqua,pleasantness,conservative,no,8,1,5.06645955947,-,-
2019_Nov_06,32,001,0,source,42,OFFER,HF,target,right,aqua,pleasantness,conservative,no,9,1,5.01652837117,-,-
2019_Nov_06,32,001,0,source,43,BALDING,LF,target,right,aqua,pleasantness,conservative,yes,9,1,1.10006144294,-,-
2019_Nov_06,32,001,0,source,44,LEECH,LF,target,right,aqua,pleasantness,liberal,no,9,1,3.48321573878,-,-
2019_Nov_06,32,001,0,source,45,BASIC,HF,target,right,aqua,pleasantness,liberal,no,9,1,4.08339522842,-,-
2019_Nov_06,32,001,0,source,46,PNEUMATIC,LF,target,left,yellow,imageability,liberal,no,1,1,1.81684834372,-,-
2019_Nov_06,32,001,0,source,47,EXUDED,LF,target,left,yellow,imageability,conservative,no,3,1,3.50012647861,-,-
2019_Nov_06,32,001,0,recog,0,EXUDED,LF,target,left,yellow,imageability,conservative,no,z,1,1.48354531637,1,1
2019_Nov_06,32,001,0,recog,1,ROVERS,LF,lure,-,-,-,conservative,yes,z,0,1.68361761081,-3,-2
2019_Nov_06,32,001,0,recog,2,OFFER,HF,target,right,aqua,pleasantness,conservative,no,z,1,4.23339299213,1,-1
2019_Nov_06,32,001,0,recog,3,THOUSAND,HF,target,right,aqua,pleasantness,conservative,no,z,1,1.05023143752,1,0
2019_Nov_06,32,001,0,recog,4,THYROID,LF,lure,-,-,-,conservative,no,m,1,1.11689299617,3,3
2019_Nov_06,32,001,0,recog,5,APPEARED,HF,target,left,yellow,imageability,conservative,no,z,1,1.36671134355,1,4
2019_Nov_06,32,001,0,recog,6,ASCEND,LF,target,left,yellow,imageability,conservative,no,z,1,0.883564893057,1,5
2019_Nov_06,32,001,0,recog,7,CONCERNED,HF,lure,-,-,-,liberal,no,m,1,2.20012178607,1,6
2019_Nov_06,32,001,0,recog,8,COUNCIL,HF,lure,-,-,-,liberal,no,m,1,2.95009630704,1,7
2019_Nov_06,32,001,0,recog,9,TOTAL,HF,lure,-,-,-,liberal,no,z,0,2.15026831795,-1,6
2019_Nov_06,32,001,0,recog,10,TOXICITY,LF,target,left,yellow,imageability,conservative,no,z,1,1.06689361939,1,7
2019_Nov_06,32,001,0,recog,11,BASIC,HF,target,right,aqua,pleasantness,liberal,no,z,1,1.00027018764,3,10
2019_Nov_06,32,001,0,recog,12,UNZIPPED,LF,target,left,yellow,imageability,liberal,no,z,1,2.15016713507,3,13
2019_Nov_06,32,001,0,recog,13,EMPATHY,LF,lure,-,-,-,conservative,no,m,1,1.46682264473,3,16
2019_Nov_06,32,001,0,recog,14,ENSCONCED,LF,lure,-,-,-,liberal,no,m,1,2.14991124501,1,17
2019_Nov_06,32,001,0,recog,15,WITHIN,HF,target,left,yellow,imageability,liberal,no,z,1,1.21688111817,3,20
2019_Nov_06,32,001,0,recog,16,GAUCHE,LF,target,right,aqua,pleasantness,liberal,yes,z,1,1.40024540516,3,23
2019_Nov_06,32,001,0,recog,17,PHYSICAL,HF,lure,-,-,-,conservative,no,m,1,3.65007695032,3,26
2019_Nov_06,32,001,0,recog,18,CLASS,HF,lure,-,-,-,conservative,no,m,1,2.51676923043,3,29
2019_Nov_06,32,001,0,recog,19,BEHIND,HF,target,left,yellow,imageability,liberal,no,z,1,4.05003787026,3,32
2019_Nov_06,32,001,0,recog,20,IRRIGATED,LF,target,right,aqua,pleasantness,liberal,no,z,1,0.983511955345,3,35
2019_Nov_06,32,001,0,recog,21,APOSTLE,LF,target,left,yellow,imageability,liberal,no,z,1,0.666939664938,3,38
