date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Oct_29,212,001,0,source,0,LOYALIST,LF,target,right,aqua,pleasantness,liberal,no,9,1,3.18586589357,-,-
2019_Oct_29,212,001,0,source,1,ANIMAL,HF,target,left,yellow,imageability,liberal,no,1,1,2.74604155714,-,-
2019_Oct_29,212,001,0,source,2,GIMMICKS,LF,target,right,aqua,pleasantness,liberal,no,1,0,1.29297902933,-,-
2019_Oct_29,212,001,0,source,3,LULLED,LF,target,right,aqua,pleasantness,conservative,no,8,1,2.05294140075,-,-
2019_Oct_29,212,001,0,source,4,LANGUAGE,HF,target,right,aqua,pleasantness,conservative,no,9,1,1.72021333615,-,-
2019_Oct_29,212,001,0,source,5,ABBOT,LF,target,right,aqua,pleasantness,liberal,no,9,1,1.3731967501,-,-
2019_Oct_29,212,001,0,source,6,KNOWLEDGE,HF,target,right,aqua,pleasantness,liberal,no,9,1,1.82650490484,-,-
2019_Oct_29,212,001,0,source,7,LIKELY,HF,target,right,aqua,pleasantness,conservative,no,9,1,0.973333714605,-,-
2019_Oct_29,212,001,0,source,8,SYRINGE,LF,target,right,aqua,pleasantness,liberal,no,9,1,0.840024650678,-,-
2019_Oct_29,212,001,0,source,9,TRIED,HF,target,left,yellow,imageability,liberal,no,1,1,2.25264818819,-,-
2019_Oct_29,212,001,0,source,10,ECLECTIC,LF,target,left,yellow,imageability,liberal,no,1,1,1.14637531647,-,-
2019_Oct_29,212,001,0,source,11,FILAMENTS,LF,target,right,aqua,pleasantness,conservative,no,1,0,1.34652899827,-,-
2019_Oct_29,212,001,0,source,12,WEEKS,HF,target,right,aqua,pleasantness,liberal,no,9,1,0.973044094799,-,-
2019_Oct_29,212,001,0,source,13,ORPHANAGE,LF,target,right,aqua,pleasantness,conservative,no,9,1,0.906491662982,-,-
2019_Oct_29,212,001,0,source,14,CHURCH,HF,target,left,yellow,imageability,conservative,no,1,1,1.10669776963,-,-
2019_Oct_29,212,001,0,source,15,CHOICE,HF,target,left,yellow,imageability,conservative,no,1,1,1.21296184277,-,-
2019_Oct_29,212,001,0,source,16,KILOWATT,LF,target,left,yellow,imageability,conservative,yes,2,1,1.90633402182,-,-
2019_Oct_29,212,001,0,source,17,REACHED,HF,target,right,aqua,pleasantness,conservative,no,9,1,2.57244417853,-,-
2019_Oct_29,212,001,0,source,18,REOPEN,LF,target,right,aqua,pleasantness,liberal,no,9,1,1.10656359134,-,-
2019_Oct_29,212,001,0,source,19,IGNOBLE,LF,target,right,aqua,pleasantness,conservative,no,1,0,1.29319349463,-,-
2019_Oct_29,212,001,0,source,20,FIGURE,HF,target,left,yellow,imageability,conservative,no,1,1,0.946686492792,-,-
2019_Oct_29,212,001,0,source,21,GETTING,HF,target,left,yellow,imageability,liberal,no,2,1,1.07991746935,-,-
2019_Oct_29,212,001,0,source,22,LEPROSY,LF,target,left,yellow,imageability,liberal,no,1,1,1.21338784051,-,-
2019_Oct_29,212,001,0,source,23,PLACE,HF,target,right,aqua,pleasantness,liberal,no,8,1,1.38651192904,-,-
2019_Oct_29,212,001,0,source,24,RODENTS,LF,target,left,yellow,imageability,conservative,no,1,1,1.01335037324,-,-
2019_Oct_29,212,001,0,source,25,GENERAL,HF,target,right,aqua,pleasantness,liberal,yes,9,1,1.85286653953,-,-
2019_Oct_29,212,001,0,source,26,RECENT,HF,target,right,aqua,pleasantness,conservative,no,2,0,1.31987737717,-,-
2019_Oct_29,212,001,0,source,27,NEMESIS,LF,target,right,aqua,pleasantness,conservative,no,9,1,1.17327439754,-,-
2019_Oct_29,212,001,0,source,28,ENOUGH,HF,target,right,aqua,pleasantness,conservative,no,2,0,1.46645176144,-,-
2019_Oct_29,212,001,0,source,29,MEETING,HF,target,left,yellow,imageability,liberal,yes,7,0,1.63990872943,-,-
2019_Oct_29,212,001,0,source,30,FLECKED,LF,target,left,yellow,imageability,liberal,no,8,0,2.18596047826,-,-
2019_Oct_29,212,001,0,source,31,SCOFFED,LF,target,left,yellow,imageability,liberal,no,8,0,1.63968949824,-,-
2019_Oct_29,212,001,0,source,32,PASSED,HF,target,left,yellow,imageability,conservative,no,8,0,0.813146832842,-,-
2019_Oct_29,212,001,0,source,33,TARIFF,LF,target,left,yellow,imageability,conservative,no,2,1,1.20000153975,-,-
2019_Oct_29,212,001,0,source,34,NIGHT,HF,target,left,yellow,imageability,liberal,no,1,1,1.09360585457,-,-
2019_Oct_29,212,001,0,source,35,RUNNING,HF,target,left,yellow,imageability,conservative,no,1,1,0.800029255267,-,-
2019_Oct_29,212,001,0,source,36,VIOLATING,LF,target,right,aqua,pleasantness,liberal,no,9,1,1.26656240354,-,-
2019_Oct_29,212,001,0,source,37,BOOKS,HF,target,right,aqua,pleasantness,liberal,no,9,1,1.08006227926,-,-
2019_Oct_29,212,001,0,source,38,FOAMING,LF,target,right,aqua,pleasantness,conservative,no,9,1,1.07992370168,-,-
2019_Oct_29,212,001,0,source,39,KANGAROO,LF,target,left,yellow,imageability,conservative,no,1,1,0.960043831575,-,-
2019_Oct_29,212,001,0,source,40,MOVED,HF,target,right,aqua,pleasantness,liberal,no,9,1,1.00010668274,-,-
2019_Oct_29,212,001,0,source,41,BLUECOATS,LF,target,left,yellow,imageability,liberal,yes,1,1,1.23984955901,-,-
2019_Oct_29,212,001,0,source,42,PUPPETS,LF,target,left,yellow,imageability,conservative,no,9,0,1.38645730454,-,-
2019_Oct_29,212,001,0,source,43,POLICE,HF,target,right,aqua,pleasantness,conservative,no,9,1,0.986474755051,-,-
2019_Oct_29,212,001,0,source,44,AMONG,HF,target,left,yellow,imageability,conservative,no,9,0,0.933389644222,-,-
2019_Oct_29,212,001,0,source,45,CUTLER,LF,target,left,yellow,imageability,conservative,no,1,1,0.893112327759,-,-
