date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Oct_11,121,001,0,source,0,DAILIES,LF,target,left,aqua,pleasantness,conservative,no,2,1,3.92975660473,-,-
2019_Oct_11,121,001,0,source,1,PERHAPS,HF,target,left,aqua,pleasantness,liberal,no,8,0,2.07094470742,-,-
2019_Oct_11,121,001,0,source,2,GIPSY,LF,target,left,aqua,pleasantness,conservative,no,1,1,2.6826927307,-,-
2019_Oct_11,121,001,0,source,3,THOUSAND,HF,target,left,aqua,pleasantness,conservative,no,3,1,3.69445116551,-,-
2019_Oct_11,121,001,0,source,4,WRONG,HF,target,left,aqua,pleasantness,liberal,no,8,0,2.51800865477,-,-
2019_Oct_11,121,001,0,source,5,CAPITAL,HF,target,right,yellow,imageability,conservative,no,2,0,1.88273056416,-,-
2019_Oct_11,121,001,0,source,6,PYJAMA,LF,target,left,aqua,pleasantness,conservative,no,1,1,1.69450725581,-,-
2019_Oct_11,121,001,0,source,7,INITIATES,LF,target,right,yellow,imageability,conservative,no,9,1,1.38860208289,-,-
2019_Oct_11,121,001,0,source,8,ENERGY,HF,target,right,yellow,imageability,liberal,no,1,0,1.90616311501,-,-
2019_Oct_11,121,001,0,source,9,DERANGED,LF,target,right,yellow,imageability,liberal,yes,8,1,1.3414627619,-,-
2019_Oct_11,121,001,0,source,10,GREATER,HF,target,left,aqua,pleasantness,conservative,no,1,1,2.35326152308,-,-
2019_Oct_11,121,001,0,source,11,DOING,HF,target,right,yellow,imageability,liberal,no,7,1,2.37654816581,-,-
2019_Oct_11,121,001,0,source,12,AVOCADO,LF,target,left,aqua,pleasantness,liberal,no,1,1,0.964754023838,-,-
2019_Oct_11,121,001,0,source,13,BEAUTIFUL,HF,target,right,yellow,imageability,conservative,no,9,1,1.81211066728,-,-
2019_Oct_11,121,001,0,source,14,SEVEN,HF,target,right,yellow,imageability,conservative,no,3,0,2.4238421934,-,-
2019_Oct_11,121,001,0,source,15,ENAMELLED,LF,target,left,aqua,pleasantness,liberal,no,7,0,2.70617770583,-,-
2019_Oct_11,121,001,0,source,16,ACCORDING,HF,target,left,aqua,pleasantness,conservative,no,1,1,1.2944546849,-,-
2019_Oct_11,121,001,0,source,17,EASILY,HF,target,right,yellow,imageability,liberal,yes,2,0,1.62386352972,-,-
2019_Oct_11,121,001,0,source,18,POLICE,HF,target,left,aqua,pleasantness,liberal,no,1,1,2.49438033774,-,-
2019_Oct_11,121,001,0,source,19,PUTTS,LF,target,left,aqua,pleasantness,liberal,no,3,1,2.25925673377,-,-
2019_Oct_11,121,001,0,source,20,BECAME,HF,target,right,yellow,imageability,liberal,no,8,1,1.81208243882,-,-
2019_Oct_11,121,001,0,source,21,FITFUL,LF,target,left,aqua,pleasantness,conservative,no,7,0,2.75334708829,-,-
2019_Oct_11,121,001,0,source,22,PONCE,LF,target,left,aqua,pleasantness,liberal,no,1,1,1.36505038596,-,-
2019_Oct_11,121,001,0,source,23,NUCLEAR,HF,target,right,yellow,imageability,liberal,yes,2,0,1.50624105488,-,-
2019_Oct_11,121,001,0,source,24,PHYSICAL,HF,target,right,yellow,imageability,conservative,no,9,1,1.67093832852,-,-
2019_Oct_11,121,001,0,source,25,ANOINTED,LF,target,left,aqua,pleasantness,conservative,no,1,1,1.52976342355,-,-
2019_Oct_11,121,001,0,source,26,EJECTED,LF,target,right,yellow,imageability,liberal,no,9,1,0.988491955257,-,-
2019_Oct_11,121,001,0,source,27,WARDROBES,LF,target,right,yellow,imageability,conservative,no,9,1,2.23549790596,-,-
2019_Oct_11,121,001,0,source,28,BUCKED,LF,target,right,yellow,imageability,conservative,no,2,0,1.55330082295,-,-
2019_Oct_11,121,001,0,source,29,UNLESS,HF,target,left,aqua,pleasantness,liberal,no,1,1,2.23561558563,-,-
2019_Oct_11,121,001,0,source,30,VILLAGE,HF,target,left,aqua,pleasantness,conservative,no,1,1,1.20025706225,-,-
