date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Oct_31,131,001,0,source,0,DESERTER,LF,target,right,yellow,pleasantness,liberal,no,9,1,3.15332049724,-,-
2019_Oct_31,131,001,0,source,1,WASHBASIN,LF,target,left,aqua,imageability,liberal,no,2,1,2.54133409392,-,-
2019_Oct_31,131,001,0,source,2,OFTEN,HF,target,left,aqua,imageability,conservative,no,2,1,2.75329835423,-,-
2019_Oct_31,131,001,0,source,3,AHEAD,HF,target,right,yellow,pleasantness,liberal,no,9,1,2.68259801945,-,-
2019_Oct_31,131,001,0,source,4,BINDINGS,LF,target,right,yellow,pleasantness,conservative,no,2,0,2.49436599891,-,-
2019_Oct_31,131,001,0,source,5,SPRATS,LF,target,left,aqua,imageability,conservative,no,3,1,2.72957234676,-,-
2019_Oct_31,131,001,0,source,6,CELLO,LF,target,right,yellow,pleasantness,conservative,no,9,1,2.28261143723,-,-
2019_Oct_31,131,001,0,source,7,WHATEVER,HF,target,left,aqua,imageability,liberal,no,8,0,4.25924030437,-,-
2019_Oct_31,131,001,0,source,8,APTLY,LF,target,right,yellow,pleasantness,liberal,no,2,0,3.57683841914,-,-
2019_Oct_31,131,001,0,source,9,BICEPS,LF,target,right,yellow,pleasantness,conservative,no,9,1,1.67066389415,-,-
2019_Oct_31,131,001,0,source,10,LOTTERY,LF,target,right,yellow,pleasantness,conservative,no,9,1,1.85884422324,-,-
2019_Oct_31,131,001,0,source,11,FATHER,HF,target,left,aqua,imageability,liberal,no,1,1,1.95339191208,-,-
2019_Oct_31,131,001,0,source,12,FELLS,LF,target,right,yellow,pleasantness,liberal,no,9,1,2.04744394961,-,-
2019_Oct_31,131,001,0,source,13,TALKING,HF,target,left,aqua,imageability,conservative,no,3,1,1.60033126519,-,-
2019_Oct_31,131,001,0,source,14,FLOOR,HF,target,left,aqua,imageability,conservative,no,1,1,1.57680835744,-,-
2019_Oct_31,131,001,0,source,15,ORDER,HF,target,right,yellow,pleasantness,conservative,no,7,1,4.9884442121,-,-
2019_Oct_31,131,001,0,source,16,INSIDE,HF,target,right,yellow,pleasantness,liberal,no,2,0,1.85908325036,-,-
2019_Oct_31,131,001,0,source,17,INDEED,HF,target,left,aqua,imageability,liberal,no,2,1,2.25917211565,-,-
2019_Oct_31,131,001,0,source,18,CLOSE,HF,target,right,yellow,pleasantness,liberal,no,9,1,1.17674038869,-,-
2019_Oct_31,131,001,0,source,19,BUNGALOWS,LF,target,left,aqua,imageability,conservative,no,1,1,2.68271643319,-,-
2019_Oct_31,131,001,0,source,20,RUSSET,LF,target,right,yellow,pleasantness,liberal,no,3,0,1.74160985496,-,-
2019_Oct_31,131,001,0,source,21,KERNEL,LF,target,right,yellow,pleasantness,conservative,no,7,1,3.52979223704,-,-
2019_Oct_31,131,001,0,source,22,ACCORDING,HF,target,right,yellow,pleasantness,conservative,no,3,0,1.95327533138,-,-
2019_Oct_31,131,001,0,source,23,RIPEN,LF,target,left,aqua,imageability,liberal,no,1,1,4.49451007507,-,-
2019_Oct_31,131,001,0,source,24,HALLMARK,LF,target,right,yellow,pleasantness,liberal,no,3,0,1.50615824768,-,-
2019_Oct_31,131,001,0,source,25,ENSCONCED,LF,target,left,aqua,imageability,liberal,yes,7,0,1.45905854111,-,-
2019_Oct_31,131,001,0,source,26,NEEDED,HF,target,left,aqua,imageability,conservative,no,3,1,2.21222821664,-,-
2019_Oct_31,131,001,0,source,27,BUGGED,LF,target,left,aqua,imageability,conservative,no,1,1,1.69441813028,-,-
2019_Oct_31,131,001,0,source,28,RASCAL,LF,target,left,aqua,imageability,conservative,no,7,0,1.38846488868,-,-
2019_Oct_31,131,001,0,source,29,FIGURE,HF,target,right,yellow,pleasantness,conservative,no,7,1,2.40048736602,-,-
2019_Oct_31,131,001,0,source,30,SWOOPING,LF,target,left,aqua,imageability,liberal,no,1,1,1.76496669018,-,-
2019_Oct_31,131,001,0,source,31,PETERED,LF,target,right,yellow,pleasantness,liberal,no,9,1,2.72976188207,-,-
2019_Oct_31,131,001,0,source,32,OFFER,HF,target,right,yellow,pleasantness,liberal,no,9,1,2.44738837214,-,-
2019_Oct_31,131,001,0,source,33,SUBJECT,HF,target,left,aqua,imageability,liberal,yes,7,0,1.08281373042,-,-
2019_Oct_31,131,001,0,source,34,AMONG,HF,target,left,aqua,imageability,liberal,no,2,1,1.38860126611,-,-
2019_Oct_31,131,001,0,source,35,CIVILITY,LF,target,left,aqua,imageability,liberal,no,3,1,2.4474532614,-,-
2019_Oct_31,131,001,0,source,36,VEXED,LF,target,left,aqua,imageability,liberal,no,3,1,1.52968518809,-,-
2019_Oct_31,131,001,0,source,37,BRING,HF,target,right,yellow,pleasantness,liberal,no,7,1,3.31793722532,-,-
2019_Oct_31,131,001,0,source,38,TRADE,HF,target,left,aqua,imageability,conservative,no,2,1,1.92967543637,-,-
2019_Oct_31,131,001,0,source,39,ABOVE,HF,target,left,aqua,imageability,liberal,yes,3,1,0.941484182417,-,-
2019_Oct_31,131,001,0,source,40,MONEY,HF,target,left,aqua,imageability,conservative,no,1,1,3.08263885936,-,-
