date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Nov_01,215,001,0,source,0,AXLES,LF,target,right,yellow,pleasantness,conservative,no,1,0,2.74596166635,-,-
2019_Nov_01,215,001,0,source,1,ETHER,LF,target,right,yellow,pleasantness,liberal,no,9,1,1.5464550429,-,-
2019_Nov_01,215,001,0,source,2,EXUDED,LF,target,right,yellow,pleasantness,liberal,no,9,1,1.21311315546,-,-
2019_Nov_01,215,001,0,source,3,PIVOT,LF,target,right,yellow,pleasantness,conservative,no,9,1,1.1333557451,-,-
2019_Nov_01,215,001,0,source,4,CURATOR,LF,target,right,yellow,pleasantness,liberal,no,9,1,0.813404092921,-,-
2019_Nov_01,215,001,0,source,5,BOOKS,HF,target,right,yellow,pleasantness,liberal,no,9,1,0.826710375718,-,-
2019_Nov_01,215,001,0,source,6,LOCAL,HF,target,left,aqua,imageability,liberal,no,1,1,1.33319781181,-,-
2019_Nov_01,215,001,0,source,7,TELEPHONE,HF,target,right,yellow,pleasantness,liberal,no,9,1,0.879795463927,-,-
2019_Nov_01,215,001,0,source,8,AMICABLY,LF,target,left,aqua,imageability,liberal,no,9,0,1.26651792294,-,-
2019_Nov_01,215,001,0,source,9,FORCE,HF,target,right,yellow,pleasantness,liberal,no,9,1,0.706776393886,-,-
2019_Nov_01,215,001,0,source,10,WOMAN,HF,target,left,aqua,imageability,conservative,no,1,1,1.45314059215,-,-
2019_Nov_01,215,001,0,source,11,JOWLS,LF,target,left,aqua,imageability,conservative,no,1,1,1.59951043613,-,-
2019_Nov_01,215,001,0,source,12,BUCKED,LF,target,right,yellow,pleasantness,conservative,no,9,1,1.57320508525,-,-
2019_Nov_01,215,001,0,source,13,WHETHER,HF,target,right,yellow,pleasantness,liberal,yes,3,0,2.1329466143,-,-
2019_Nov_01,215,001,0,source,14,HYACINTHS,LF,target,left,aqua,imageability,conservative,no,1,1,1.05327388961,-,-
2019_Nov_01,215,001,0,source,15,FLYWHEEL,LF,target,left,aqua,imageability,liberal,no,1,1,1.97276310667,-,-
2019_Nov_01,215,001,0,source,16,HOEING,LF,target,right,yellow,pleasantness,conservative,no,9,1,1.30651779096,-,-
2019_Nov_01,215,001,0,source,17,ZIPPED,LF,target,right,yellow,pleasantness,liberal,no,9,1,4.45197002347,-,-
2019_Nov_01,215,001,0,source,18,NUMBER,HF,target,right,yellow,pleasantness,liberal,no,9,1,1.53311356606,-,-
2019_Nov_01,215,001,0,source,19,COFFINS,LF,target,right,yellow,pleasantness,conservative,no,3,0,2.21279274299,-,-
2019_Nov_01,215,001,0,source,20,PIECE,HF,target,left,aqua,imageability,liberal,no,1,1,1.23992882004,-,-
2019_Nov_01,215,001,0,source,21,TALKING,HF,target,right,yellow,pleasantness,conservative,no,1,0,2.01291254939,-,-
2019_Nov_01,215,001,0,source,22,TAUNTED,LF,target,left,aqua,imageability,conservative,no,2,1,4.3719765197,-,-
2019_Nov_01,215,001,0,source,23,SCYTHE,LF,target,left,aqua,imageability,liberal,no,8,0,3.82529088247,-,-
2019_Nov_01,215,001,0,source,24,ANSWER,HF,target,left,aqua,imageability,liberal,no,1,1,1.90632151082,-,-
2019_Nov_01,215,001,0,source,25,FOUND,HF,target,left,aqua,imageability,conservative,no,1,1,1.38647683388,-,-
2019_Nov_01,215,001,0,source,26,WHOLE,HF,target,left,aqua,imageability,conservative,no,1,1,0.893225292495,-,-
2019_Nov_01,215,001,0,source,27,REPORT,HF,target,right,yellow,pleasantness,liberal,no,9,1,1.21321470495,-,-
2019_Nov_01,215,001,0,source,28,WALKED,HF,target,left,aqua,imageability,liberal,no,1,1,2.19963016922,-,-
2019_Nov_01,215,001,0,source,29,ENROLMENT,LF,target,right,yellow,pleasantness,liberal,no,9,1,0.959935242952,-,-
2019_Nov_01,215,001,0,source,30,NEBULOUS,LF,target,right,yellow,pleasantness,liberal,no,9,1,1.98624352668,-,-
2019_Nov_01,215,001,0,source,31,TRADE,HF,target,left,aqua,imageability,conservative,yes,7,0,2.78569721241,-,-
2019_Nov_01,215,001,0,source,32,TERMS,HF,target,left,aqua,imageability,conservative,no,1,1,2.2128568988,-,-
2019_Nov_01,215,001,0,source,33,APPEARED,HF,target,right,yellow,pleasantness,conservative,no,8,1,3.14577594443,-,-
2019_Nov_01,215,001,0,source,34,SIMILAR,HF,target,right,yellow,pleasantness,conservative,no,8,1,1.57315852645,-,-
2019_Nov_01,215,001,0,source,35,LOOKED,HF,target,left,aqua,imageability,liberal,no,1,1,3.67867724639,-,-
2019_Nov_01,215,001,0,source,36,ALMOST,HF,target,right,yellow,pleasantness,conservative,no,9,1,1.61322474992,-,-
2019_Nov_01,215,001,0,source,37,BEREAVED,LF,target,left,aqua,imageability,liberal,no,1,1,3.81194280674,-,-
2019_Nov_01,215,001,0,source,38,TASSELS,LF,target,left,aqua,imageability,conservative,no,1,1,1.01338876885,-,-
2019_Nov_01,215,001,0,source,39,GIRLS,HF,target,right,yellow,pleasantness,conservative,yes,2,0,2.1462536303,-,-
2019_Nov_01,215,001,0,source,40,NARRATOR,LF,target,left,aqua,imageability,conservative,yes,3,1,1.2266742285,-,-
2019_Nov_01,215,001,0,source,41,SALAMI,LF,target,left,aqua,imageability,liberal,no,1,1,1.39989566431,-,-
2019_Nov_01,215,001,0,source,42,PUBLIC,HF,target,right,yellow,pleasantness,conservative,no,9,1,1.27961194163,-,-
2019_Nov_01,215,001,0,source,43,UNION,HF,target,left,aqua,imageability,conservative,no,1,1,2.51945131014,-,-
2019_Nov_01,215,001,0,source,44,FACILE,LF,target,left,aqua,imageability,conservative,no,1,1,4.38528060287,-,-
2019_Nov_01,215,001,0,source,45,KANGAROO,LF,target,right,yellow,pleasantness,conservative,no,9,1,0.813367432455,-,-
2019_Nov_01,215,001,0,source,46,HAVING,HF,target,left,aqua,imageability,liberal,no,2,1,1.55976609156,-,-
2019_Nov_01,215,001,0,source,47,JOYFULLY,LF,target,left,aqua,imageability,liberal,no,1,1,2.75916126719,-,-
2019_Nov_01,215,001,0,recog,0,MAJOR,HF,lure,-,-,-,conservative,no,m,1,2.46605827401,3,3
2019_Nov_01,215,001,0,recog,1,FOUND,HF,target,left,aqua,imageability,conservative,no,z,1,1.39981391147,1,4
2019_Nov_01,215,001,0,recog,2,BOOKS,HF,target,right,yellow,pleasantness,liberal,no,z,1,1.39980951222,3,7
2019_Nov_01,215,001,0,recog,3,PINAFORE,LF,lure,-,-,-,liberal,no,m,1,1.07993521362,1,8
2019_Nov_01,215,001,0,recog,4,SCYTHE,LF,target,left,aqua,imageability,liberal,no,z,1,0.840036821772,3,11
2019_Nov_01,215,001,0,recog,5,BEREAVED,LF,target,left,aqua,imageability,liberal,no,z,1,0.906676384134,3,14
2019_Nov_01,215,001,0,recog,6,LOOKED,HF,target,left,aqua,imageability,liberal,no,z,1,0.98666365562,3,17
2019_Nov_01,215,001,0,recog,7,LOCAL,HF,target,left,aqua,imageability,liberal,no,z,1,0.813414357852,3,20
2019_Nov_01,215,001,0,recog,8,TELEPHONE,HF,target,right,yellow,pleasantness,liberal,no,z,1,0.706763562723,3,23
2019_Nov_01,215,001,0,recog,9,AXLES,LF,target,right,yellow,pleasantness,conservative,no,z,1,0.89336166943,1,24
2019_Nov_01,215,001,0,recog,10,UNABATED,LF,lure,-,-,-,liberal,no,m,1,1.18657501061,1,25
2019_Nov_01,215,001,0,recog,11,SPACE,HF,lure,-,-,-,liberal,no,m,1,1.43981524591,1,26
2019_Nov_01,215,001,0,recog,12,LAUNCHER,LF,lure,-,-,-,conservative,no,m,1,1.46623901011,3,29
2019_Nov_01,215,001,0,recog,13,WOMAN,HF,target,left,aqua,imageability,conservative,no,z,1,0.946660488156,1,30
2019_Nov_01,215,001,0,recog,14,TERMS,HF,target,left,aqua,imageability,conservative,no,z,1,0.98663139441,1,31
2019_Nov_01,215,001,0,recog,15,ANSWER,HF,target,left,aqua,imageability,liberal,no,z,1,0.826764633208,3,34
2019_Nov_01,215,001,0,recog,16,HAVING,HF,target,left,aqua,imageability,liberal,no,z,1,0.533596017793,3,37
2019_Nov_01,215,001,0,recog,17,APPEARED,HF,target,right,yellow,pleasantness,conservative,no,z,1,0.746952232146,1,38
2019_Nov_01,215,001,0,recog,18,GIRLS,HF,target,right,yellow,pleasantness,conservative,no,z,1,1.11986909281,1,39
2019_Nov_01,215,001,0,recog,19,HOEING,LF,target,right,yellow,pleasantness,conservative,no,z,1,1.1066090022,1,40
2019_Nov_01,215,001,0,recog,20,POUNDS,HF,lure,-,-,-,liberal,no,m,1,0.746489210458,1,41
2019_Nov_01,215,001,0,recog,21,PIVOT,LF,target,right,yellow,pleasantness,conservative,no,z,1,0.720103573149,1,42
2019_Nov_01,215,001,0,recog,22,ENTIRELY,HF,lure,-,-,-,conservative,no,m,1,1.14661583571,3,45
2019_Nov_01,215,001,0,recog,23,CAMPANILE,LF,lure,-,-,-,conservative,no,m,1,1.50643794446,3,48
2019_Nov_01,215,001,0,recog,24,ALREADY,HF,lure,-,-,-,conservative,no,m,1,1.46648390202,3,51
2019_Nov_01,215,001,0,recog,25,STAFF,HF,lure,-,-,-,conservative,no,m,1,1.10635127912,3,54
2019_Nov_01,215,001,0,recog,26,SOLEMNITY,LF,lure,-,-,-,conservative,no,m,1,0.519935228288,3,57
2019_Nov_01,215,001,0,recog,27,PIECE,HF,target,left,aqua,imageability,liberal,no,z,1,0.706781892956,3,60
2019_Nov_01,215,001,0,recog,28,JOYFULLY,LF,target,left,aqua,imageability,liberal,no,z,1,0.85346738355,3,63
2019_Nov_01,215,001,0,recog,29,CURATOR,LF,target,right,yellow,pleasantness,liberal,no,z,1,0.693567994533,3,66
2019_Nov_01,215,001,0,recog,30,TABLE,HF,lure,-,-,-,conservative,no,m,1,0.733448349436,3,69
2019_Nov_01,215,001,0,recog,31,FOLLOWED,HF,lure,-,-,-,liberal,no,m,1,1.13330185421,1,70
2019_Nov_01,215,001,0,recog,32,SIMILAR,HF,target,right,yellow,pleasantness,conservative,no,z,1,1.11994094732,1,71
2019_Nov_01,215,001,0,recog,33,DITTO,LF,lure,-,-,-,liberal,no,m,1,0.76007264638,1,72
2019_Nov_01,215,001,0,recog,34,HOWEVER,HF,lure,-,-,-,liberal,no,m,1,1.33290892734,1,73
2019_Nov_01,215,001,0,recog,35,ETHER,LF,target,right,yellow,pleasantness,liberal,yes,z,1,2.29279467866,3,76
2019_Nov_01,215,001,0,recog,36,SALAMI,LF,target,left,aqua,imageability,liberal,no,z,1,0.959994266303,3,79
2019_Nov_01,215,001,0,recog,37,ENROLMENT,LF,target,right,yellow,pleasantness,liberal,no,z,1,0.960012596536,3,82
2019_Nov_01,215,001,0,recog,38,ORDER,HF,lure,-,-,-,conservative,no,m,1,0.78673910286,3,85
2019_Nov_01,215,001,0,recog,39,SENSE,HF,lure,-,-,-,conservative,no,m,1,0.57349873558,3,88
2019_Nov_01,215,001,0,recog,40,COFFINS,LF,target,right,yellow,pleasantness,conservative,no,z,1,1.05307115723,1,89
2019_Nov_01,215,001,0,recog,41,LAMENT,LF,lure,-,-,-,conservative,no,m,1,0.720085242916,3,92
2019_Nov_01,215,001,0,recog,42,WALKED,HF,target,left,aqua,imageability,liberal,no,z,1,0.720061047008,3,95
