date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Oct_22,208,001,0,source,0,NUMBER,HF,target,right,aqua,pleasantness,liberal,no,None,-1,-1,-,-
2019_Oct_22,208,001,0,source,1,SWOOPING,LF,target,left,yellow,imageability,liberal,no,1,1,2.09296177706,-,-
2019_Oct_22,208,001,0,source,2,OBTAINS,LF,target,left,yellow,imageability,conservative,no,8,0,4.5583454985,-,-
2019_Oct_22,208,001,0,source,3,QUESTION,HF,target,left,yellow,imageability,liberal,no,7,0,6.2643285599,-,-
2019_Oct_22,208,001,0,source,4,OCHRE,LF,target,right,aqua,pleasantness,liberal,no,9,1,3.14559850777,-,-
2019_Oct_22,208,001,0,source,5,TALKING,HF,target,left,yellow,imageability,conservative,no,2,1,2.78596923307,-,-
2019_Oct_22,208,001,0,source,6,MUTATIONS,LF,target,right,aqua,pleasantness,conservative,no,9,1,2.91924982421,-,-
2019_Oct_22,208,001,0,source,7,TILTS,LF,target,right,aqua,pleasantness,liberal,no,9,1,1.6397335664,-,-
2019_Oct_22,208,001,0,source,8,SMEARING,LF,target,left,yellow,imageability,conservative,no,3,1,3.9186199974,-,-
2019_Oct_22,208,001,0,source,9,RETURN,HF,target,left,yellow,imageability,conservative,no,3,1,2.18595031627,-,-
2019_Oct_22,208,001,0,source,10,ATTACK,HF,target,right,aqua,pleasantness,conservative,no,7,1,2.35928173348,-,-
2019_Oct_22,208,001,0,source,11,GERANIUMS,LF,target,right,aqua,pleasantness,conservative,no,9,1,2.29285773466,-,-
2019_Oct_22,208,001,0,source,12,PADDLE,LF,target,left,yellow,imageability,liberal,no,3,1,1.94604569214,-,-
2019_Oct_22,208,001,0,source,13,PAWNS,LF,target,right,aqua,pleasantness,conservative,no,8,1,2.74573253844,-,-
2019_Oct_22,208,001,0,source,14,DAPPER,LF,target,right,aqua,pleasantness,liberal,no,8,1,2.83928454901,-,-
2019_Oct_22,208,001,0,source,15,WOBBLE,LF,target,left,yellow,imageability,liberal,no,8,0,1.95956827169,-,-
2019_Oct_22,208,001,0,source,16,MOMENT,HF,target,right,aqua,pleasantness,liberal,no,9,1,1.78608214731,-,-
2019_Oct_22,208,001,0,source,17,DURING,HF,target,right,aqua,pleasantness,liberal,no,7,1,2.1996682961,-,-
2019_Oct_22,208,001,0,source,18,LANGUAGE,HF,target,left,yellow,imageability,liberal,no,7,0,3.57233733201,-,-
2019_Oct_22,208,001,0,source,19,DEBACLE,LF,target,left,yellow,imageability,liberal,no,2,1,3.29243540609,-,-
2019_Oct_22,208,001,0,source,20,SARDINES,LF,target,right,aqua,pleasantness,conservative,no,1,0,2.35943130818,-,-
2019_Oct_22,208,001,0,source,21,CAPITAL,HF,target,left,yellow,imageability,conservative,yes,3,1,1.55974372868,-,-
2019_Oct_22,208,001,0,source,22,STUDENT,HF,target,right,aqua,pleasantness,conservative,no,7,1,2.26617038172,-,-
2019_Oct_22,208,001,0,source,23,PAPER,HF,target,right,aqua,pleasantness,conservative,no,9,1,2.78577676562,-,-
2019_Oct_22,208,001,0,source,24,GRIEVE,LF,target,right,aqua,pleasantness,liberal,no,8,1,2.74597083147,-,-
2019_Oct_22,208,001,0,source,25,VILLAGE,HF,target,left,yellow,imageability,liberal,no,9,0,3.13251805345,-,-
2019_Oct_22,208,001,0,source,26,HOTEL,HF,target,left,yellow,imageability,conservative,no,1,1,1.90630171417,-,-
2019_Oct_22,208,001,0,source,27,ADVERSELY,LF,target,left,yellow,imageability,liberal,no,7,0,3.19919024362,-,-
2019_Oct_22,208,001,0,source,28,DEGREE,HF,target,right,aqua,pleasantness,conservative,no,3,0,3.66562062137,-,-
2019_Oct_22,208,001,0,source,29,CANNOT,HF,target,left,yellow,imageability,liberal,no,2,1,2.39943594207,-,-
2019_Oct_22,208,001,0,source,30,VULTURE,LF,target,left,yellow,imageability,liberal,yes,7,0,1.8663451055,-,-
2019_Oct_22,208,001,0,source,31,QUICKLY,HF,target,left,yellow,imageability,conservative,yes,2,1,1.23992038813,-,-
2019_Oct_22,208,001,0,source,32,CLEAR,HF,target,right,aqua,pleasantness,conservative,yes,3,0,1.0266444602,-,-
2019_Oct_22,208,001,0,source,33,SABLE,LF,target,right,aqua,pleasantness,liberal,no,7,1,3.4790258141,-,-
2019_Oct_22,208,001,0,source,34,UNION,HF,target,left,yellow,imageability,liberal,no,2,1,3.02561210147,-,-
2019_Oct_22,208,001,0,source,35,CAGED,LF,target,left,yellow,imageability,conservative,no,2,1,1.58834769079,-,-
2019_Oct_22,208,001,0,source,36,SAYING,HF,target,left,yellow,imageability,conservative,no,3,1,1.99932984668,-,-
2019_Oct_22,208,001,0,source,37,CALLED,HF,target,right,aqua,pleasantness,conservative,no,2,0,1.89299249854,-,-
2019_Oct_22,208,001,0,source,38,EVENING,HF,target,right,aqua,pleasantness,liberal,no,7,1,1.97293761049,-,-
2019_Oct_22,208,001,0,source,39,SAFARI,LF,target,left,yellow,imageability,conservative,no,2,1,2.23926783183,-,-
2019_Oct_22,208,001,0,source,40,SERIOUS,HF,target,right,aqua,pleasantness,liberal,no,2,0,3.10584316506,-,-
2019_Oct_22,208,001,0,source,41,AFRAID,HF,target,right,aqua,pleasantness,liberal,no,9,1,3.46561834842,-,-
2019_Oct_22,208,001,0,source,42,ZEALOTS,LF,target,left,yellow,imageability,conservative,no,9,0,2.13287732601,-,-
2019_Oct_22,208,001,0,source,43,SAMENESS,LF,target,left,yellow,imageability,conservative,no,3,1,2.50610800027,-,-
2019_Oct_22,208,001,0,source,44,SPACE,HF,target,left,yellow,imageability,liberal,no,1,1,1.98592531383,-,-
