date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Oct_31,214,001,0,source,0,SOLEMNITY,LF,target,right,aqua,imageability,liberal,no,7,1,3.5589864738,-,-
2019_Oct_31,214,001,0,source,1,EMIGRATED,LF,target,left,yellow,pleasantness,conservative,no,3,1,2.78597588337,-,-
2019_Oct_31,214,001,0,source,2,SEPULCHRE,LF,target,left,yellow,pleasantness,conservative,no,8,0,1.54639841569,-,-
2019_Oct_31,214,001,0,source,3,LEFTISTS,LF,target,right,aqua,imageability,liberal,no,8,1,1.69300564862,-,-
2019_Oct_31,214,001,0,source,4,SYSTEM,HF,target,left,yellow,pleasantness,conservative,no,3,1,1.70635880786,-,-
2019_Oct_31,214,001,0,source,5,GARDEN,HF,target,right,aqua,imageability,conservative,no,9,1,1.34648156132,-,-
2019_Oct_31,214,001,0,source,6,PHYSICAL,HF,target,left,yellow,pleasantness,liberal,no,3,1,1.78632012388,-,-
2019_Oct_31,214,001,0,source,7,ZEBRA,LF,target,left,yellow,pleasantness,conservative,no,7,0,1.35960632669,-,-
2019_Oct_31,214,001,0,source,8,TRADE,HF,target,left,yellow,pleasantness,liberal,no,3,1,1.61302526923,-,-
2019_Oct_31,214,001,0,source,9,ADENOIDS,LF,target,right,aqua,imageability,liberal,no,8,1,1.1863173377,-,-
2019_Oct_31,214,001,0,source,10,POWER,HF,target,right,aqua,imageability,liberal,no,7,1,1.79941262816,-,-
2019_Oct_31,214,001,0,source,11,MIGHTILY,LF,target,left,yellow,pleasantness,liberal,no,7,0,1.39981684498,-,-
2019_Oct_31,214,001,0,source,12,FLUFF,LF,target,left,yellow,pleasantness,conservative,no,7,0,1.63966816534,-,-
2019_Oct_31,214,001,0,source,13,WHOLE,HF,target,right,aqua,imageability,liberal,no,7,1,1.37290632845,-,-
2019_Oct_31,214,001,0,source,14,ASKED,HF,target,left,yellow,pleasantness,conservative,no,8,0,1.18656882757,-,-
2019_Oct_31,214,001,0,source,15,LOBBIES,LF,target,right,aqua,imageability,conservative,no,8,1,1.50649951022,-,-
2019_Oct_31,214,001,0,source,16,FRONT,HF,target,left,yellow,pleasantness,liberal,no,3,1,1.59981178586,-,-
2019_Oct_31,214,001,0,source,17,MATERIAL,HF,target,left,yellow,pleasantness,conservative,no,3,1,0.826514145023,-,-
2019_Oct_31,214,001,0,source,18,PREPARED,HF,target,right,aqua,imageability,conservative,no,7,1,1.18658532472,-,-
2019_Oct_31,214,001,0,source,19,BEAUTIFUL,HF,target,right,aqua,imageability,liberal,no,8,1,1.11967545341,-,-
2019_Oct_31,214,001,0,source,20,GLIDED,LF,target,left,yellow,pleasantness,liberal,no,8,0,1.91963798656,-,-
2019_Oct_31,214,001,0,source,21,POACHED,LF,target,left,yellow,pleasantness,liberal,no,2,1,1.69307347024,-,-
2019_Oct_31,214,001,0,source,22,WESTERN,HF,target,right,aqua,imageability,liberal,no,7,1,1.17321603494,-,-
2019_Oct_31,214,001,0,source,23,CLASS,HF,target,left,yellow,pleasantness,liberal,yes,3,1,0.973326675818,-,-
2019_Oct_31,214,001,0,source,24,ABATED,LF,target,left,yellow,pleasantness,liberal,no,8,0,1.70613517984,-,-
2019_Oct_31,214,001,0,source,25,SUMMER,HF,target,right,aqua,imageability,liberal,yes,7,1,1.1867378317,-,-
2019_Oct_31,214,001,0,source,26,ARCADES,LF,target,right,aqua,imageability,conservative,no,3,0,2.03973723341,-,-
2019_Oct_31,214,001,0,source,27,CIVILITY,LF,target,left,yellow,pleasantness,liberal,no,7,0,1.14658523674,-,-
2019_Oct_31,214,001,0,source,28,ECONOMIC,HF,target,left,yellow,pleasantness,conservative,no,2,1,2.11961019802,-,-
2019_Oct_31,214,001,0,source,29,LABOUR,HF,target,right,aqua,imageability,conservative,no,7,1,1.35959386218,-,-
2019_Oct_31,214,001,0,source,30,POLICE,HF,target,right,aqua,imageability,conservative,no,8,1,1.39957928603,-,-
2019_Oct_31,214,001,0,source,31,PAUNCH,LF,target,right,aqua,imageability,liberal,yes,8,1,0.706743374745,-,-
2019_Oct_31,214,001,0,source,32,QUALITY,HF,target,left,yellow,pleasantness,conservative,no,3,1,2.0262887573,-,-
2019_Oct_31,214,001,0,source,33,HOTEL,HF,target,left,yellow,pleasantness,conservative,no,3,1,1.95957685179,-,-
2019_Oct_31,214,001,0,source,34,REEDY,LF,target,left,yellow,pleasantness,conservative,yes,2,1,0.813071167969,-,-
2019_Oct_31,214,001,0,source,35,CIRCUSES,LF,target,right,aqua,imageability,liberal,no,8,1,1.65296083503,-,-
2019_Oct_31,214,001,0,source,36,YACHTING,LF,target,right,aqua,imageability,conservative,no,9,1,1.06667597839,-,-
2019_Oct_31,214,001,0,source,37,EBONY,LF,target,right,aqua,imageability,conservative,no,8,1,0.946731071537,-,-
2019_Oct_31,214,001,0,source,38,DINER,LF,target,right,aqua,imageability,conservative,no,3,0,1.74608724279,-,-
2019_Oct_31,214,001,0,source,39,BEGAN,HF,target,right,aqua,imageability,conservative,no,7,1,1.98652696147,-,-
