date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Oct_09,13,001,0,source,0,KIPPERS,LF,target,right,yellow,imageability,conservative,no,7,1,4.56668331046,-,-
2019_Oct_09,13,001,0,source,1,TOGETHER,HF,target,right,yellow,imageability,liberal,no,7,1,3.91673522149,-,-
2019_Oct_09,13,001,0,source,2,ENMESHED,LF,target,left,aqua,pleasantness,conservative,no,3,1,4.66665530196,-,-
2019_Oct_09,13,001,0,source,3,MERELY,HF,target,left,aqua,pleasantness,conservative,no,7,0,3.56650294163,-,-
2019_Oct_09,13,001,0,source,4,YELLOWED,LF,target,right,yellow,imageability,conservative,no,7,1,1.21687519063,-,-
2019_Oct_09,13,001,0,source,5,DOING,HF,target,left,aqua,pleasantness,liberal,no,7,0,1.95023909868,-,-
2019_Oct_09,13,001,0,source,6,VILLAGE,HF,target,left,aqua,pleasantness,conservative,no,3,1,1.36677525457,-,-
2019_Oct_09,13,001,0,source,7,EMPATHY,LF,target,left,aqua,pleasantness,liberal,no,3,1,1.88356861934,-,-
2019_Oct_09,13,001,0,source,8,CASES,HF,target,right,yellow,imageability,conservative,no,7,1,1.7833048116,-,-
2019_Oct_09,13,001,0,source,9,CLASS,HF,target,right,yellow,imageability,conservative,no,7,1,1.86688523556,-,-
2019_Oct_09,13,001,0,source,10,GABLE,LF,target,right,yellow,imageability,liberal,no,3,0,1.06668221065,-,-
2019_Oct_09,13,001,0,source,11,INMATE,LF,target,right,yellow,imageability,liberal,no,7,1,1.05000579233,-,-
2019_Oct_09,13,001,0,source,12,ANYONE,HF,target,right,yellow,imageability,conservative,no,3,0,1.06662941977,-,-
2019_Oct_09,13,001,0,source,13,ATTACK,HF,target,right,yellow,imageability,conservative,no,7,1,1.31687504399,-,-
2019_Oct_09,13,001,0,source,14,RIGGING,LF,target,left,aqua,pleasantness,conservative,no,7,0,1.48354794292,-,-
2019_Oct_09,13,001,0,source,15,HYSTERICS,LF,target,right,yellow,imageability,liberal,no,3,0,2.33342388435,-,-
2019_Oct_09,13,001,0,source,16,VAGABOND,LF,target,right,yellow,imageability,liberal,no,7,1,1.36691896307,-,-
2019_Oct_09,13,001,0,source,17,HAPPEN,HF,target,right,yellow,imageability,liberal,no,3,0,1.366977253,-,-
2019_Oct_09,13,001,0,source,18,MIDDLE,HF,target,left,aqua,pleasantness,conservative,no,3,1,2.73344786021,-,-
2019_Oct_09,13,001,0,source,19,WHITE,HF,target,right,yellow,imageability,conservative,no,7,1,1.2499886353,-,-
2019_Oct_09,13,001,0,source,20,UNKEMPT,LF,target,left,aqua,pleasantness,liberal,no,7,0,1.25017486978,-,-
2019_Oct_09,13,001,0,source,21,BUZZARD,LF,target,left,aqua,pleasantness,liberal,yes,3,1,1.69994068358,-,-
2019_Oct_09,13,001,0,source,22,AGATE,LF,target,left,aqua,pleasantness,liberal,no,7,0,1.03349507872,-,-
2019_Oct_09,13,001,0,source,23,VOICE,HF,target,right,yellow,imageability,liberal,no,7,1,0.933600073907,-,-
2019_Oct_09,13,001,0,source,24,AMPLIFY,LF,target,left,aqua,pleasantness,conservative,no,3,1,1.93350219082,-,-
2019_Oct_09,13,001,0,source,25,EIGHT,HF,target,left,aqua,pleasantness,liberal,no,7,0,0.81693003449,-,-
2019_Oct_09,13,001,0,source,26,AGGRAVATE,LF,target,right,yellow,imageability,liberal,no,7,1,1.21692174926,-,-
2019_Oct_09,13,001,0,source,27,UNZIPPED,LF,target,right,yellow,imageability,conservative,no,3,0,4.65001701039,-,-
2019_Oct_09,13,001,0,source,28,CAPITAL,HF,target,right,yellow,imageability,liberal,no,7,1,1.10026417435,-,-
2019_Oct_09,13,001,0,source,29,BUGGED,LF,target,left,aqua,pleasantness,liberal,no,7,0,1.5501905604,-,-
2019_Oct_09,13,001,0,source,30,BLOOD,HF,target,left,aqua,pleasantness,conservative,no,7,0,2.43326866451,-,-
2019_Oct_09,13,001,0,source,31,KNOWLEDGE,HF,target,left,aqua,pleasantness,liberal,no,7,0,0.766888681635,-,-
2019_Oct_09,13,001,0,source,32,FAMILY,HF,target,left,aqua,pleasantness,liberal,no,7,0,1.08352360046,-,-
2019_Oct_09,13,001,0,source,33,DEGREE,HF,target,right,yellow,imageability,conservative,no,7,1,1.90027326611,-,-
2019_Oct_09,13,001,0,source,34,EARLIER,HF,target,left,aqua,pleasantness,conservative,yes,3,1,0.883359288849,-,-
2019_Oct_09,13,001,0,source,35,WAITING,HF,target,left,aqua,pleasantness,liberal,no,7,0,2.20015991237,-,-
2019_Oct_09,13,001,0,source,36,NETTLE,LF,target,left,aqua,pleasantness,conservative,no,3,1,1.0169843651,-,-
2019_Oct_09,13,001,0,source,37,PATCHY,LF,target,left,aqua,pleasantness,conservative,yes,3,1,0.683567812815,-,-
2019_Oct_09,13,001,0,source,38,TOLERABLY,LF,target,right,yellow,imageability,conservative,no,7,1,0.883556888036,-,-
2019_Oct_09,13,001,0,source,39,ACROSS,HF,target,left,aqua,pleasantness,liberal,no,7,0,0.633572285376,-,-
2019_Oct_09,13,001,0,source,40,VEHEMENCE,LF,target,left,aqua,pleasantness,conservative,no,7,0,1.43327379695,-,-
2019_Oct_09,13,001,0,source,41,SOMEONE,HF,target,right,yellow,imageability,liberal,no,3,0,0.93355388189,-,-
2019_Oct_09,13,001,0,source,42,WAKED,LF,target,left,aqua,pleasantness,liberal,no,7,0,1.40023623918,-,-
2019_Oct_09,13,001,0,source,43,LETTER,HF,target,left,aqua,pleasantness,conservative,no,3,1,1.2500109981,-,-
2019_Oct_09,13,001,0,source,44,TRUTH,HF,target,right,yellow,imageability,liberal,yes,3,0,0.883516928275,-,-
2019_Oct_09,13,001,0,source,45,SARDINES,LF,target,right,yellow,imageability,liberal,no,7,1,1.26694330553,-,-
